lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2022-12-24 17:15:15.269779,,,,,4.0,,,,,,,0.11883927136659622,0.0011441162787377834,0.11883927136659622
0.01,2022-12-24 17:15:52.240406,,,,,,,,,,,,,,
,2022-12-24 17:15:52.966159,0.11167381703853607,0.0003735449572559446,0.11167381703853607,1299.0,5.0,,,,,,,,,
0.01,2022-12-24 17:16:29.101936,,,,,,,,,,,,,,
,2022-12-24 17:16:29.796099,0.011618413031101227,4.809516394743696e-05,0.011618413031101227,1349.0,5.0,,,,,,,,,
0.01,2022-12-24 17:17:05.991857,,,,,,,,,,,,,,
,2022-12-24 17:17:06.770718,0.02204623818397522,8.598430576967075e-05,0.02204623818397522,1399.0,5.0,,,,,,,,,
0.01,2022-12-24 17:17:43.163390,,,,,,,,,,,,,,
,2022-12-24 17:17:43.870538,0.1648251861333847,0.0009878418641164899,0.1648251861333847,1449.0,5.0,,,,,,,,,
0.01,2022-12-24 17:18:19.765928,,,,,,,,,,,,,,
,2022-12-24 17:18:20.503094,0.05696489289402962,0.00019749464991036803,0.05696489289402962,1499.0,5.0,,,,,,,,,
,2022-12-24 17:18:23.675727,,,,,5.0,0.20211319625377655,0.0014897809596732259,0.20211319625377655,0.027228903025388718,0.00010037146421382204,0.027228903025388718,,,
,2022-12-24 17:18:27.905883,,,,,5.0,,,,,,,0.11718899756669998,0.0015771302860230207,0.11718899756669998
0.01,2022-12-24 17:21:16.695440,,,,,,,,,,,,,,
,2022-12-24 17:21:17.458689,0.702652096748352,0.23193514347076416,0.702652096748352,1549.0,6.0,,,,,,,,,
0.01,2022-12-24 17:21:54.360000,,,,,,,,,,,,,,
,2022-12-24 17:21:55.134516,0.05999378859996796,0.000204986339667812,0.05999378859996796,1599.0,6.0,,,,,,,,,
0.01,2022-12-24 17:22:31.419375,,,,,,,,,,,,,,
,2022-12-24 17:22:32.185633,0.13181869685649872,0.0008072374621406198,0.13181869685649872,1649.0,6.0,,,,,,,,,
0.01,2022-12-24 17:23:08.527325,,,,,,,,,,,,,,
,2022-12-24 17:23:09.221802,0.12801313400268555,0.0005916797090321779,0.12801313400268555,1699.0,6.0,,,,,,,,,
0.01,2022-12-24 17:23:45.227769,,,,,,,,,,,,,,
,2022-12-24 17:23:46.046415,0.014334633015096188,6.516171561088413e-05,0.014334633015096188,1749.0,6.0,,,,,,,,,
,2022-12-24 17:23:49.208125,,,,,6.0,0.04127887636423111,0.00014641296002082527,0.04127887636423111,0.12196965515613556,0.0005835521151311696,0.12196965515613556,,,
,2022-12-24 17:23:51.145388,,,,,6.0,,,,,,,0.11410225927829742,0.0042585404589772224,0.11410225927829742
0.01,2022-12-24 17:24:28.193756,,,,,,,,,,,,,,
,2022-12-24 17:24:28.873644,0.006804837845265865,3.184974048053846e-05,0.006804837845265865,1799.0,7.0,,,,,,,,,
0.01,2022-12-24 17:25:05.079586,,,,,,,,,,,,,,
,2022-12-24 17:25:05.772598,0.027766024693846703,0.00010457245662109926,0.027766024693846703,1849.0,7.0,,,,,,,,,
0.01,2022-12-24 17:25:41.848248,,,,,,,,,,,,,,
,2022-12-24 17:25:42.551364,0.0628117024898529,0.0002193042600993067,0.0628117024898529,1899.0,7.0,,,,,,,,,
0.01,2022-12-24 17:26:19.182717,,,,,,,,,,,,,,
,2022-12-24 17:26:19.904210,0.115413598716259,0.0004637173260562122,0.115413598716259,1949.0,7.0,,,,,,,,,
0.01,2022-12-24 17:26:56.189045,,,,,,,,,,,,,,
,2022-12-24 17:26:56.919473,0.08447737246751785,0.00028015210409648716,0.08447737246751785,1999.0,7.0,,,,,,,,,
,2022-12-24 17:26:59.902732,,,,,7.0,0.10446716845035553,0.0008137347176671028,0.10446716845035553,0.031245514750480652,0.00011468265438452363,0.031245514750480652,,,
,2022-12-24 17:27:02.545280,,,,,7.0,,,,,,,0.10929979383945465,0.003351006656885147,0.10929979383945465
0.01,2022-12-24 17:29:49.119926,,,,,,,,,,,,,,
,2022-12-24 17:29:49.926790,0.09377078711986542,0.0003207798581570387,0.09377078711986542,2049.0,8.0,,,,,,,,,
0.01,2022-12-24 17:30:26.501058,,,,,,,,,,,,,,
,2022-12-24 17:30:27.225346,0.31560033559799194,0.0019503331277519464,0.31560033559799194,2099.0,8.0,,,,,,,,,
0.01,2022-12-24 17:31:03.668788,,,,,,,,,,,,,,
,2022-12-24 17:31:04.406104,0.04773775488138199,0.00016082775255199522,0.04773775488138199,2149.0,8.0,,,,,,,,,
0.01,2022-12-24 17:31:40.888259,,,,,,,,,,,,,,
,2022-12-24 17:31:41.630037,0.09006119519472122,0.00034376553958281875,0.09006119519472122,2199.0,8.0,,,,,,,,,
0.01,2022-12-24 17:32:18.013335,,,,,,,,,,,,,,
,2022-12-24 17:32:18.670381,0.013265603221952915,5.625256017083302e-05,0.013265603221952915,2249.0,8.0,,,,,,,,,
,2022-12-24 17:32:21.952815,,,,,8.0,0.09952709078788757,0.00039783937972970307,0.09952709078788757,0.12137681990861893,0.00047995851491577923,0.12137681990861893,,,
,2022-12-24 17:32:23.873078,,,,,8.0,,,,,,,0.11764809489250183,0.0022014311980456114,0.11764809489250183
0.01,2022-12-24 17:33:00.652572,,,,,,,,,,,,,,
,2022-12-24 17:33:01.430974,0.19213317334651947,0.0008388072019442916,0.19213317334651947,2299.0,9.0,,,,,,,,,
0.01,2022-12-24 17:33:37.145571,,,,,,,,,,,,,,
,2022-12-24 17:33:37.861930,0.05934659019112587,0.00020176407997496426,0.05934659019112587,2349.0,9.0,,,,,,,,,
0.01,2022-12-24 17:34:14.077083,,,,,,,,,,,,,,
,2022-12-24 17:34:14.882721,0.186609148979187,0.0007170483004301786,0.186609148979187,2399.0,9.0,,,,,,,,,
0.01,2022-12-24 17:34:51.515796,,,,,,,,,,,,,,
,2022-12-24 17:34:52.249335,0.06270389258861542,0.00021578400628641248,0.06270389258861542,2449.0,9.0,,,,,,,,,
0.01,2022-12-24 17:35:28.656669,,,,,,,,,,,,,,
,2022-12-24 17:35:29.343517,0.05232098698616028,0.000173519627423957,0.05232098698616028,2499.0,9.0,,,,,,,,,
,2022-12-24 17:35:32.673050,,,,,9.0,0.15011024475097656,0.006745052989572287,0.15011024475097656,0.03261726349592209,0.00011767817341024056,0.03261726349592209,,,
,2022-12-24 17:35:35.048685,,,,,9.0,,,,,,,0.1148366630077362,0.0031119645573198795,0.1148366630077362
0.01,2022-12-24 17:38:11.941537,,,,,,,,,,,,,,
,2022-12-24 17:38:12.677644,0.05961072817444801,0.00020156832761131227,0.05961072817444801,2549.0,10.0,,,,,,,,,
0.01,2022-12-24 17:38:48.743090,,,,,,,,,,,,,,
,2022-12-24 17:38:49.476245,0.018673447892069817,7.387918594758958e-05,0.018673447892069817,2599.0,10.0,,,,,,,,,
0.01,2022-12-24 17:39:25.939177,,,,,,,,,,,,,,
,2022-12-24 17:39:26.683360,0.14721834659576416,0.0006808934267610312,0.14721834659576416,2649.0,10.0,,,,,,,,,
0.01,2022-12-24 17:40:03.081980,,,,,,,,,,,,,,
,2022-12-24 17:40:03.757802,0.028522854670882225,0.00011120059934910387,0.028522854670882225,2699.0,10.0,,,,,,,,,
0.01,2022-12-24 17:40:40.674484,,,,,,,,,,,,,,
,2022-12-24 17:40:41.369892,0.0744689404964447,0.00025311880744993687,0.0744689404964447,2749.0,10.0,,,,,,,,,
,2022-12-24 17:40:44.609928,,,,,10.0,0.07104064524173737,0.0002578316198196262,0.07104064524173737,0.06872431933879852,0.00032445305259898305,0.06872431933879852,,,
,2022-12-24 17:40:46.729967,,,,,10.0,,,,,,,0.10616423934698105,0.0026948554441332817,0.10616423934698105
0.01,2022-12-24 17:41:23.387955,,,,,,,,,,,,,,
,2022-12-24 17:41:24.073696,0.03093598783016205,0.000111086068500299,0.03093598783016205,2799.0,11.0,,,,,,,,,
0.01,2022-12-24 17:42:00.725310,,,,,,,,,,,,,,
,2022-12-24 17:42:01.429544,0.12416692823171616,0.0006200654897838831,0.12416692823171616,2849.0,11.0,,,,,,,,,
0.01,2022-12-24 17:42:38.170459,,,,,,,,,,,,,,
,2022-12-24 17:42:38.929972,0.12239398062229156,0.0005619678413495421,0.12239398062229156,2899.0,11.0,,,,,,,,,
0.01,2022-12-24 17:43:15.714189,,,,,,,,,,,,,,
,2022-12-24 17:43:16.519983,0.10949532687664032,0.0004137658979743719,0.10949532687664032,2949.0,11.0,,,,,,,,,
0.01,2022-12-24 17:43:53.055570,,,,,,,,,,,,,,
,2022-12-24 17:43:53.843315,0.027819031849503517,0.00010810235107783228,0.027819031849503517,2999.0,11.0,,,,,,,,,
,2022-12-24 17:43:57.132436,,,,,11.0,0.04926477000117302,0.00017197903071064502,0.04926477000117302,0.10636425763368607,0.0006552558043040335,0.10636425763368607,,,
,2022-12-24 17:43:59.264957,,,,,11.0,,,,,,,0.11775655299425125,0.00259780022315681,0.11775655299425125
0.01,2022-12-24 17:46:44.912882,,,,,,,,,,,,,,
,2022-12-24 17:46:45.615625,0.03955917805433273,0.00014335733430925757,0.03955917805433273,3049.0,12.0,,,,,,,,,
0.01,2022-12-24 17:47:22.660498,,,,,,,,,,,,,,
,2022-12-24 17:47:23.380515,0.08820053189992905,0.0003408441261854023,0.08820053189992905,3099.0,12.0,,,,,,,,,
0.01,2022-12-24 17:48:00.501803,,,,,,,,,,,,,,
,2022-12-24 17:48:01.254222,0.02513633295893669,9.799066901905462e-05,0.02513633295893669,3149.0,12.0,,,,,,,,,
0.01,2022-12-24 17:48:37.602550,,,,,,,,,,,,,,
,2022-12-24 17:48:38.462028,0.05568217486143112,0.00019178338698111475,0.05568217486143112,3199.0,12.0,,,,,,,,,
0.01,2022-12-24 17:49:15.104749,,,,,,,,,,,,,,
,2022-12-24 17:49:15.817838,0.19165708124637604,0.0017564487643539906,0.19165708124637604,3249.0,12.0,,,,,,,,,
,2022-12-24 17:49:19.112700,,,,,12.0,0.11956305801868439,0.000567929819226265,0.11956305801868439,0.0421612374484539,0.000176750443642959,0.0421612374484539,,,
,2022-12-24 17:49:21.164837,,,,,12.0,,,,,,,0.10914552211761475,0.0021257365588098764,0.10914552211761475
0.01,2022-12-24 17:49:58.849566,,,,,,,,,,,,,,
,2022-12-24 17:49:59.547881,0.09566236287355423,0.0003155889571644366,0.09566236287355423,3299.0,13.0,,,,,,,,,
0.01,2022-12-24 17:50:35.338059,,,,,,,,,,,,,,
,2022-12-24 17:50:36.083185,0.02829756774008274,9.93406429188326e-05,0.02829756774008274,3349.0,13.0,,,,,,,,,
0.01,2022-12-24 17:51:12.401111,,,,,,,,,,,,,,
,2022-12-24 17:51:13.092509,0.22400759160518646,0.0010656120721250772,0.22400759160518646,3399.0,13.0,,,,,,,,,
0.01,2022-12-24 17:51:49.305754,,,,,,,,,,,,,,
,2022-12-24 17:51:50.062216,0.09792517125606537,0.0004069700953550637,0.09792517125606537,3449.0,13.0,,,,,,,,,
0.01,2022-12-24 17:52:27.173092,,,,,,,,,,,,,,
,2022-12-24 17:52:27.954753,0.02613893151283264,9.45932260947302e-05,0.02613893151283264,3499.0,13.0,,,,,,,,,
,2022-12-24 17:52:31.296971,,,,,13.0,0.1394239217042923,0.0007783175678923726,0.1394239217042923,0.1374160349369049,0.000983423669822514,0.1374160349369049,,,
,2022-12-24 17:52:33.808170,,,,,13.0,,,,,,,0.10820978879928589,0.003272267524152994,0.10820978879928589
0.01,2022-12-24 17:55:21.636355,,,,,,,,,,,,,,
,2022-12-24 17:55:22.361321,0.014762124046683311,6.0630482039414346e-05,0.014762124046683311,3549.0,14.0,,,,,,,,,
0.01,2022-12-24 17:55:59.217832,,,,,,,,,,,,,,
,2022-12-24 17:55:59.967452,0.11780169606208801,0.00047835070290602744,0.11780169606208801,3599.0,14.0,,,,,,,,,
0.01,2022-12-24 17:56:36.127871,,,,,,,,,,,,,,
,2022-12-24 17:56:36.913757,0.950922966003418,0.0035751883406192064,0.950922966003418,3649.0,14.0,,,,,,,,,
0.01,2022-12-24 17:57:13.650906,,,,,,,,,,,,,,
,2022-12-24 17:57:14.407025,0.8854073286056519,0.003462695050984621,0.8854073286056519,3699.0,14.0,,,,,,,,,
0.01,2022-12-24 17:57:50.979208,,,,,,,,,,,,,,
,2022-12-24 17:57:51.720207,0.9431834816932678,0.003152881283313036,0.9431834816932678,3749.0,14.0,,,,,,,,,
,2022-12-24 17:57:54.857718,,,,,14.0,0.9273946285247803,0.004467758350074291,0.9273946285247803,0.9327628016471863,0.0062341876327991486,0.9327628016471863,,,
,2022-12-24 17:57:56.665976,,,,,14.0,,,,,,,0.4541073739528656,0.005036754067987204,0.4541073739528656
0.01,2022-12-24 17:58:33.776258,,,,,,,,,,,,,,
,2022-12-24 17:58:34.486406,0.5088767409324646,0.00301868817768991,0.5088767409324646,3799.0,15.0,,,,,,,,,
0.01,2022-12-24 17:59:10.999392,,,,,,,,,,,,,,
,2022-12-24 17:59:11.798959,0.1160687655210495,0.00041681528091430664,0.1160687655210495,3849.0,15.0,,,,,,,,,
0.01,2022-12-24 17:59:49.065084,,,,,,,,,,,,,,
,2022-12-24 17:59:49.791316,0.43624788522720337,0.002055442426353693,0.43624788522720337,3899.0,15.0,,,,,,,,,
0.01,2022-12-24 18:00:26.431132,,,,,,,,,,,,,,
